article;date;client secteur1;Quantite;PU net
1732479;31/12/2019;Client_A;2;3.07
1521454;31/12/2019;Client_A;1;30.74
1421853;31/12/2019;Client_A;1;9.22
1355333;31/12/2019;Client_A;1;3.07
1343903;31/12/2019;Client_A;1;6.17
1337841;31/12/2019;Client_A;1;3.07
1312045;31/12/2019;Client_A;1;6.17
1310522;31/12/2019;Client_A;2;3.68
1996147;31/12/2019;Client_A;1;3.07
1779436;31/12/2019;Client_A;1;18.44
1710186;31/12/2019;Client_A;1;18.44
1610753;31/12/2019;Client_A;1;3.07
1520891;31/12/2019;Client_A;1;15.36
1520495;31/12/2019;Client_A;1;6.17
1517358;31/12/2019;Client_A;1;15.36
1512667;31/12/2019;Client_A;1;18.44
1512643;31/12/2019;Client_A;1;18.44
1510656;31/12/2019;Client_A;1;9.22
1510229;31/12/2019;Client_A;1;21.51
1362027;31/12/2019;Client_A;1;6.17
1343903;31/12/2019;Client_A;1;6.17
1323325;31/12/2019;Client_A;1;3.07
1321436;31/12/2019;Client_A;1;9.22
1320903;31/12/2019;Client_A;1;3.68
1314506;31/12/2019;Client_A;7;3.68
1302481;31/12/2019;Client_A;1;3.68
1147891;31/12/2019;Client_A;1;3.07
1889753;31/12/2019;Client_A;5;7.99
1797461;31/12/2019;Client_A;10;9.22
1752095;31/12/2019;Client_A;5;12.29
1718199;31/12/2019;Client_A;1;12.29
1718182;31/12/2019;Client_A;3;9.22
1716881;31/12/2019;Client_A;9;12.29
1716843;31/12/2019;Client_A;13;18.44
1716782;31/12/2019;Client_A;12;6.14
1712739;31/12/2019;Client_A;24;9.22
1564612;31/12/2019;Client_A;22;24.59
1563011;31/12/2019;Client_A;2;12.29
1533557;31/12/2019;Client_A;10;7.99
1521102;31/12/2019;Client_A;8;9.22
1518546;31/12/2019;Client_A;4;10.45
1517044;31/12/2019;Client_A;1;6.14
1512667;31/12/2019;Client_A;4;18.44
1314087;31/12/2019;Client_A;25;12.29
1184797;31/12/2019;Client_A;12;9.22
1162221;31/12/2019;Client_A;14;12.29
1102172;31/12/2019;Client_A;9;6.14
1716843;31/12/2019;Client_A;5;18.44
1716782;31/12/2019;Client_A;2;6.14
1712739;31/12/2019;Client_A;5;9.22
1564612;31/12/2019;Client_A;16;24.59
1563011;31/12/2019;Client_A;3;12.29
1521102;31/12/2019;Client_A;6;9.22
1102172;31/12/2019;Client_A;4;6.14
1580452;31/12/2019;Client_A;2;4.61
1882822;31/12/2019;Client_A;1;15.36
1711855;31/12/2019;Client_A;1;3.68
1711824;31/12/2019;Client_A;1;5.53
1603496;31/12/2019;Client_A;3;3.07
1566036;31/12/2019;Client_A;1;4.61
1555610;31/12/2019;Client_A;1;6.17
1502621;31/12/2019;Client_A;1;3.07
1502300;31/12/2019;Client_A;1;3.07
1497033;31/12/2019;Client_A;1;9.22
1488406;31/12/2019;Client_A;1;3.07
1458508;31/12/2019;Client_A;1;3.07
1436483;31/12/2019;Client_A;3;3.68
1342524;31/12/2019;Client_A;1;6.14
1192044;31/12/2019;Client_A;1;6.14
1187828;31/12/2019;Client_A;1;3.07
1167622;31/12/2019;Client_A;1;15.37
1147914;31/12/2019;Client_A;1;3.07
1144319;31/12/2019;Client_A;1;3.07
1918933;31/12/2019;Client_C;5;5.56
1720451;31/12/2019;Client_C;1;5.57
1717949;31/12/2019;Client_C;2;5.56
1710391;31/12/2019;Client_C;1;5.56
1709036;31/12/2019;Client_C;1;5.56
1573232;31/12/2019;Client_C;1;5.56
1566036;31/12/2019;Client_C;1;5.56
1536855;31/12/2019;Client_C;5;5.56
1520495;31/12/2019;Client_C;8;5.56
1519154;31/12/2019;Client_C;16;5.56
1518881;31/12/2019;Client_C;1;5.56
1518560;31/12/2019;Client_C;3;5.56
1518300;31/12/2019;Client_C;1;5.56
1518003;31/12/2019;Client_C;2;5.56
1517822;31/12/2019;Client_C;5;5.56
1517174;31/12/2019;Client_C;2;5.56
1515798;31/12/2019;Client_C;1;5.56
1514616;31/12/2019;Client_C;1;5.56
1512445;31/12/2019;Client_C;5;5.56
1512285;31/12/2019;Client_C;2;5.56
1511240;31/12/2019;Client_C;9;5.56
1421327;31/12/2019;Client_C;1;5.56
1418914;31/12/2019;Client_C;1;5.56
1414633;31/12/2019;Client_C;4;5.56
1363048;31/12/2019;Client_C;1;5.56
1343507;31/12/2019;Client_C;2;5.56
1316135;31/12/2019;Client_C;2;5.56
1314490;31/12/2019;Client_C;2;5.56
1306426;31/12/2019;Client_C;3;5.56
1120169;31/12/2019;Client_C;1;5.56
1117398;31/12/2019;Client_C;2;5.56
1114120;31/12/2019;Client_C;3;5.56
1752095;31/12/2019;Client_C;2;11.18
1721137;31/12/2019;Client_C;2;11.18
1718205;31/12/2019;Client_C;1;11.18
1716775;31/12/2019;Client_C;4;8.38
1708756;31/12/2019;Client_C;7;11.18
1708572;31/12/2019;Client_C;1;39.14
1609718;31/12/2019;Client_C;3;11.18
1563011;31/12/2019;Client_C;1;11.18
1536268;31/12/2019;Client_C;1;13.97
1521164;31/12/2019;Client_C;2;11.18
1521058;31/12/2019;Client_C;2;22.36
1521041;31/12/2019;Client_C;2;16.77
1520990;31/12/2019;Client_C;1;11.18
1520891;31/12/2019;Client_C;5;13.97
1520884;31/12/2019;Client_C;1;19.57
1517365;31/12/2019;Client_C;2;9.5
1517228;31/12/2019;Client_C;24;16.77
1512674;31/12/2019;Client_C;1;16.77
1512667;31/12/2019;Client_C;1;16.77
1510656;31/12/2019;Client_C;1;8.38
1510311;31/12/2019;Client_C;1;8.38
1314087;31/12/2019;Client_C;1;11.18
1302244;31/12/2019;Client_C;2;11.18
1176990;31/12/2019;Client_C;2;13.97
1162221;31/12/2019;Client_C;36;11.18
1115134;31/12/2019;Client_C;1;19.57
1114113;31/12/2019;Client_C;1;9.5
1920271;31/12/2019;Client_C;1;3.34
1918940;31/12/2019;Client_C;35;3.34
1916427;31/12/2019;Client_C;31;3.34
1720468;31/12/2019;Client_C;12;3.34
1719615;31/12/2019;Client_C;6;3.34
1718809;31/12/2019;Client_C;2;3.34
1717987;31/12/2019;Client_C;2;3.34
1717970;31/12/2019;Client_C;2;3.34
1717598;31/12/2019;Client_C;15;3.34
1717581;31/12/2019;Client_C;5;3.34
1717574;31/12/2019;Client_C;5;3.34
1717567;31/12/2019;Client_C;15;3.34
1717543;31/12/2019;Client_C;5;3.34
1716706;31/12/2019;Client_C;5;3.34
1716683;31/12/2019;Client_C;9;3.34
1713682;31/12/2019;Client_C;7;3.34
1712388;31/12/2019;Client_C;5;3.34
1712371;31/12/2019;Client_C;6;3.34
1712364;31/12/2019;Client_C;6;3.34
1711657;31/12/2019;Client_C;7;3.34
1711640;31/12/2019;Client_C;8;3.34
1711541;31/12/2019;Client_C;11;3.34
1711534;31/12/2019;Client_C;5;3.34
1711022;31/12/2019;Client_C;6;3.34
1711015;31/12/2019;Client_C;8;3.34
1711008;31/12/2019;Client_C;5;3.34
1710995;31/12/2019;Client_C;7;3.34
1710988;31/12/2019;Client_C;3;3.34
1622564;31/12/2019;Client_C;3;3.34
1520501;31/12/2019;Client_C;13;3.34
1520402;31/12/2019;Client_C;3;3.34
1520150;31/12/2019;Client_C;4;3.34
1519161;31/12/2019;Client_C;22;3.34
1518614;31/12/2019;Client_C;8;3.34
1518577;31/12/2019;Client_C;7;3.34
1518348;31/12/2019;Client_C;7;3.34
1518294;31/12/2019;Client_C;15;3.34
1518270;31/12/2019;Client_C;10;3.34
1517839;31/12/2019;Client_C;14;3.34
1517389;31/12/2019;Client_C;11;3.34
1517181;31/12/2019;Client_C;19;3.34
1516320;31/12/2019;Client_C;41;3.34
1511196;31/12/2019;Client_C;20;3.34
1510823;31/12/2019;Client_C;53;3.34
1420481;31/12/2019;Client_C;5;3.34
1420115;31/12/2019;Client_C;4;3.34
1419911;31/12/2019;Client_C;1;3.34
1418921;31/12/2019;Client_C;2;3.34
1411014;31/12/2019;Client_C;10;3.34
1382063;31/12/2019;Client_C;1;3.34
1363055;31/12/2019;Client_C;6;3.34
1321214;31/12/2019;Client_C;3;3.34
1320972;31/12/2019;Client_C;16;3.34
1320903;31/12/2019;Client_C;7;3.34
1320132;31/12/2019;Client_C;4;3.34
1319549;31/12/2019;Client_C;4;3.34
1319440;31/12/2019;Client_C;2;3.34
1319068;31/12/2019;Client_C;1;3.34
1318832;31/12/2019;Client_C;1;3.34
1318757;31/12/2019;Client_C;11;3.34
1316401;31/12/2019;Client_C;4;3.34
1314506;31/12/2019;Client_C;22;3.34
1312206;31/12/2019;Client_C;16;3.34
1121302;31/12/2019;Client_C;14;3.34
1120923;31/12/2019;Client_C;12;3.34
1120176;31/12/2019;Client_C;9;3.34
1117404;31/12/2019;Client_C;12;3.34
1114137;31/12/2019;Client_C;5;3.34
1959548;31/12/2019;Client_C;2;8.38
1959531;31/12/2019;Client_C;4;5.59
1916571;31/12/2019;Client_C;1;8.38
1906398;31/12/2019;Client_C;1;22.36
1900259;31/12/2019;Client_C;1;5.59
1800849;31/12/2019;Client_C;1;5.59
1798284;31/12/2019;Client_C;1;5.59
1798260;31/12/2019;Client_C;1;5.59
1790332;31/12/2019;Client_C;1;5.59
1787738;31/12/2019;Client_C;1;5.59
1779436;31/12/2019;Client_C;1;16.77
1778668;31/12/2019;Client_C;1;5.59
1765354;31/12/2019;Client_C;1;5.59
1757717;31/12/2019;Client_C;1;5.59
1757076;31/12/2019;Client_C;1;5.59
1756727;31/12/2019;Client_C;1;5.59
1756680;31/12/2019;Client_C;1;5.59
1751364;31/12/2019;Client_C;2;5.59
1747985;31/12/2019;Client_C;1;5.59
1723490;31/12/2019;Client_C;3;11.18
1723033;31/12/2019;Client_C;2;5.59
1722653;31/12/2019;Client_C;6;7.27
1722035;31/12/2019;Client_C;2;8.38
1721823;31/12/2019;Client_C;2;11.18
1721687;31/12/2019;Client_C;1;9.5
1721670;31/12/2019;Client_C;1;11.18
1721311;31/12/2019;Client_C;1;5.59
1721267;31/12/2019;Client_C;1;13.97
1720215;31/12/2019;Client_C;1;9.5
1720208;31/12/2019;Client_C;2;9.5
1720024;31/12/2019;Client_C;1;16.77
1719707;31/12/2019;Client_C;1;9.5
1719295;31/12/2019;Client_C;1;9.5
1719257;31/12/2019;Client_C;2;9.5
1717666;31/12/2019;Client_C;1;5.59
1717246;31/12/2019;Client_C;2;11.18
1715907;31/12/2019;Client_C;1;8.38
1715891;31/12/2019;Client_C;1;5.59
1715327;31/12/2019;Client_C;1;5.59
1713880;31/12/2019;Client_C;1;5.59
1713859;31/12/2019;Client_C;1;5.59
1713842;31/12/2019;Client_C;1;5.59
1713163;31/12/2019;Client_C;2;5.59
1713132;31/12/2019;Client_C;2;5.59
1711411;31/12/2019;Client_C;1;11.18
1710384;31/12/2019;Client_C;1;5.59
1708190;31/12/2019;Client_C;1;5.59
1622571;31/12/2019;Client_C;1;8.38
1622113;31/12/2019;Client_C;1;8.38
1621628;31/12/2019;Client_C;6;8.38
1611216;31/12/2019;Client_C;1;5.59
1604492;31/12/2019;Client_C;2;5.59
1572532;31/12/2019;Client_C;2;5.59
1555085;31/12/2019;Client_C;2;5.59
1534752;31/12/2019;Client_C;1;5.59
1524715;31/12/2019;Client_C;1;5.59
1523558;31/12/2019;Client_C;1;5.59
1523367;31/12/2019;Client_C;1;5.59
1523144;31/12/2019;Client_C;1;39.14
1522673;31/12/2019;Client_C;1;8.38
1522666;31/12/2019;Client_C;1;11.18
1522468;31/12/2019;Client_C;1;16.77
1522307;31/12/2019;Client_C;1;11.18
1522154;31/12/2019;Client_C;9;7.27
1521904;31/12/2019;Client_C;2;7.27
1521539;31/12/2019;Client_C;7;13.97
1521515;31/12/2019;Client_C;33;11.18
1521478;31/12/2019;Client_C;1;13.97
1521461;31/12/2019;Client_C;32;18.45
1521454;31/12/2019;Client_C;8;27.96
1520389;31/12/2019;Client_C;1;8.38
1519802;31/12/2019;Client_C;1;5.59
1519567;31/12/2019;Client_C;3;5.59
1519482;31/12/2019;Client_C;4;8.38
1519468;31/12/2019;Client_C;1;5.59
1515774;31/12/2019;Client_C;1;8.38
1515224;31/12/2019;Client_C;2;5.59
1514395;31/12/2019;Client_C;1;5.59
1514357;31/12/2019;Client_C;2;5.59
1511929;31/12/2019;Client_C;1;8.38
1510076;31/12/2019;Client_C;1;5.59
1503079;31/12/2019;Client_C;1;5.59
1501678;31/12/2019;Client_C;1;5.59
1499655;31/12/2019;Client_C;1;5.59
1486587;31/12/2019;Client_C;1;5.59
1480158;31/12/2019;Client_C;1;8.38
1458492;31/12/2019;Client_C;1;5.59
1454692;31/12/2019;Client_C;1;5.59
1444518;31/12/2019;Client_C;1;8.38
1430504;31/12/2019;Client_C;1;5.59
1422690;31/12/2019;Client_C;5;11.18
1422683;31/12/2019;Client_C;3;13.97
1422607;31/12/2019;Client_C;1;8.38
1422065;31/12/2019;Client_C;1;7.27
1422058;31/12/2019;Client_C;1;9.5
1422027;31/12/2019;Client_C;2;16.77
1422010;31/12/2019;Client_C;1;9.5
1421853;31/12/2019;Client_C;2;8.38
1419638;31/12/2019;Client_C;1;5.59
1419325;31/12/2019;Client_C;2;5.59
1414480;31/12/2019;Client_C;1;5.59
1414411;31/12/2019;Client_C;3;5.59
1413216;31/12/2019;Client_C;1;5.59
1411090;31/12/2019;Client_C;1;5.59
1407391;31/12/2019;Client_C;1;5.59
1406614;31/12/2019;Client_C;2;5.59
1403904;31/12/2019;Client_C;1;5.59
1402334;31/12/2019;Client_C;1;5.59
1366872;31/12/2019;Client_C;1;5.59
1366537;31/12/2019;Client_C;1;11.18
1355333;31/12/2019;Client_C;2;5.59
1354121;31/12/2019;Client_C;1;5.59
1344467;31/12/2019;Client_C;1;8.38
1343903;31/12/2019;Client_C;1;8.38
1337841;31/12/2019;Client_C;1;5.59
1322885;31/12/2019;Client_C;1;5.59
1322532;31/12/2019;Client_C;3;5.59
1321771;31/12/2019;Client_C;5;8.38
1321757;31/12/2019;Client_C;1;11.18
1321436;31/12/2019;Client_C;2;8.38
1321405;31/12/2019;Client_C;1;16.77
1320682;31/12/2019;Client_C;1;5.59
1319976;31/12/2019;Client_C;1;16.77
1307430;31/12/2019;Client_C;2;5.59
1305505;31/12/2019;Client_C;1;5.59
1305443;31/12/2019;Client_C;1;5.59
1302481;31/12/2019;Client_C;3;5.59
1302336;31/12/2019;Client_C;1;5.59
1181093;31/12/2019;Client_C;1;5.59
1175313;31/12/2019;Client_C;1;5.59
1144685;31/12/2019;Client_C;2;5.59
1144678;31/12/2019;Client_C;2;5.59
1144661;31/12/2019;Client_C;4;5.59
1139582;31/12/2019;Client_C;1;5.59
1123962;31/12/2019;Client_C;5;16.77
1122590;31/12/2019;Client_C;8;11.18
1122583;31/12/2019;Client_C;3;13.97
1122170;31/12/2019;Client_C;1;13.97
1121982;31/12/2019;Client_C;1;8.38
1121975;31/12/2019;Client_C;1;13.97
1121395;31/12/2019;Client_C;5;8.38
1121388;31/12/2019;Client_C;6;11.18
1121227;31/12/2019;Client_C;1;8.38
1116346;31/12/2019;Client_C;1;5.59
1114311;31/12/2019;Client_C;1;5.59
1111051;31/12/2019;Client_C;1;5.59
1103101;31/12/2019;Client_C;1;5.59
1101656;31/12/2019;Client_C;1;5.59
1100178;31/12/2019;Client_C;1;5.59
1889753;31/12/2019;Client_C;1;7.27
1797461;31/12/2019;Client_C;3;8.38
1797263;31/12/2019;Client_C;2;5.59
1717499;31/12/2019;Client_C;3;11.18
1717314;31/12/2019;Client_C;3;11.18
1716898;31/12/2019;Client_C;1;5.59
1716782;31/12/2019;Client_C;1;5.59
1712760;31/12/2019;Client_C;1;8.38
1712746;31/12/2019;Client_C;1;8.38
1712739;31/12/2019;Client_C;2;8.38
1708770;31/12/2019;Client_C;1;8.38
1708640;31/12/2019;Client_C;1;5.59
1708527;31/12/2019;Client_C;3;5.59
1564612;31/12/2019;Client_C;20;22.36
1521102;31/12/2019;Client_C;1;8.38
1521034;31/12/2019;Client_C;1;5.59
1521027;31/12/2019;Client_C;2;5.59
1512575;31/12/2019;Client_C;1;5.59
1512544;31/12/2019;Client_C;1;5.59
1503603;31/12/2019;Client_C;1;5.59
1121128;31/12/2019;Client_C;2;5.59
1115852;31/12/2019;Client_C;4;7.27
1102172;31/12/2019;Client_C;2;5.59
1522673;30/12/2019;Client_H;2;8.93
1521454;30/12/2019;Client_H;2;29.76
1422690;30/12/2019;Client_H;2;11.9
1717666;30/12/2019;Client_I;1;6.14
1513770;30/12/2019;Client_D;1;5.95
1522147;30/12/2019;Client_D;1;10.12
1998356;30/12/2019;Client_A;1;6.17
1959548;30/12/2019;Client_A;1;6.17
1921187;30/12/2019;Client_A;1;3.07
1911873;30/12/2019;Client_A;1;6.17
1832551;30/12/2019;Client_A;1;9.22
1823917;30/12/2019;Client_A;2;3.07
1793647;30/12/2019;Client_A;1;6.14
1762810;30/12/2019;Client_A;1;6.14
1749958;30/12/2019;Client_A;3;3.68
1717543;30/12/2019;Client_A;1;6.14
1715303;30/12/2019;Client_A;1;6.14
1703744;30/12/2019;Client_A;1;6.14
1703454;30/12/2019;Client_A;1;18.44
1604492;30/12/2019;Client_A;3;3.68
1595463;30/12/2019;Client_A;1;3.68
1581992;30/12/2019;Client_A;1;3.07
1579401;30/12/2019;Client_A;1;18.44
1572549;30/12/2019;Client_A;1;6.17
1555795;30/12/2019;Client_A;4;6.17
1555757;30/12/2019;Client_A;1;3.07
1546823;30/12/2019;Client_A;3;3.07
1524753;30/12/2019;Client_A;1;3.07
1523558;30/12/2019;Client_A;1;3.07
1517235;30/12/2019;Client_A;14;30.74
1516559;30/12/2019;Client_A;1;15.36
1511165;30/12/2019;Client_A;2;12.29
1458690;30/12/2019;Client_A;1;6.17
1455804;30/12/2019;Client_A;1;6.17
1416255;30/12/2019;Client_A;3;12.29
1415937;30/12/2019;Client_A;1;6.17
1406837;30/12/2019;Client_A;1;3.07
1392130;30/12/2019;Client_A;4;9.22
1392024;30/12/2019;Client_A;13;3.68
1385873;30/12/2019;Client_A;1;3.68
1373672;30/12/2019;Client_A;2;3.07
1365714;30/12/2019;Client_A;1;3.68
1359669;30/12/2019;Client_A;1;6.17
1347802;30/12/2019;Client_A;1;3.07
1325732;30/12/2019;Client_A;1;3.07
1322885;30/12/2019;Client_A;1;3.07
1314971;30/12/2019;Client_A;1;3.68
1312206;30/12/2019;Client_A;1;3.07
1196066;30/12/2019;Client_A;1;6.17
1144685;30/12/2019;Client_A;3;3.68
1113414;30/12/2019;Client_A;1;6.14
1111489;30/12/2019;Client_A;2;3.07
1749958;30/12/2019;Client_A;1;3.68
1559984;30/12/2019;Client_A;1;3.07
1546823;30/12/2019;Client_A;1;3.07
1517235;30/12/2019;Client_A;11;30.74
1515743;30/12/2019;Client_A;1;6.17
1509965;30/12/2019;Client_A;1;3.07
1440930;30/12/2019;Client_A;1;3.07
1413958;30/12/2019;Client_A;1;3.07
1308826;30/12/2019;Client_A;1;3.68
1307929;30/12/2019;Client_A;1;3.07
1302237;30/12/2019;Client_A;1;3.07
1134839;30/12/2019;Client_A;1;3.07
1112904;30/12/2019;Client_A;2;36.89
1106928;30/12/2019;Client_A;1;3.68
1907067;30/12/2019;Client_A;1;6.17
1799830;30/12/2019;Client_A;1;18.44
1766047;30/12/2019;Client_A;1;3.07
1512667;30/12/2019;Client_A;1;18.44
1494377;30/12/2019;Client_A;1;3.68
1372415;30/12/2019;Client_A;1;6.17
1340681;30/12/2019;Client_A;1;3.07
1323325;30/12/2019;Client_A;1;3.07
1179410;30/12/2019;Client_A;1;6.17
1166649;30/12/2019;Client_A;1;3.07
1861421;27/12/2019;Client_E;1;6.06
1721311;27/12/2019;Client_E;1;3.94
1717246;27/12/2019;Client_E;1;12.13
1710186;27/12/2019;Client_E;1;18.19
1517228;27/12/2019;Client_E;3;18.19
1419638;27/12/2019;Client_E;1;6.06
1414473;27/12/2019;Client_E;1;6.5
1409394;27/12/2019;Client_E;2;6.06
1321405;27/12/2019;Client_E;1;18.19
1310522;27/12/2019;Client_E;3;6.06
1117404;27/12/2019;Client_E;1;3.94
1113574;27/12/2019;Client_E;1;6.06
1922312;27/12/2019;Client_E;2;9.09
1521508;27/12/2019;Client_E;2;15.16
1516320;27/12/2019;Client_E;2;3.94
1392024;27/12/2019;Client_E;2;3.94
1319846;27/12/2019;Client_E;4;3.94
1314568;27/12/2019;Client_E;1;9.09
1310546;27/12/2019;Client_E;2;6.06
1307430;27/12/2019;Client_E;2;3.94
1305443;27/12/2019;Client_E;2;3.94
1162221;27/12/2019;Client_E;3;12.13
1721663;27/12/2019;Client_E;1;10.31
1717963;27/12/2019;Client_E;1;10.31
1564612;27/12/2019;Client_E;1;24.26
1521508;27/12/2019;Client_E;2;15.16
1519154;27/12/2019;Client_E;1;6.5
1518614;27/12/2019;Client_E;1;3.94
1518577;27/12/2019;Client_E;1;3.94
1518348;27/12/2019;Client_E;1;6.06
1420481;27/12/2019;Client_E;1;3.94
1319846;27/12/2019;Client_E;3;3.94
1162221;27/12/2019;Client_E;1;12.13
1121395;27/12/2019;Client_E;2;9.09
1121388;27/12/2019;Client_E;1;12.13
1985264;27/12/2019;Client_K;1;6.14
1890056;27/12/2019;Client_K;1;9.22
1889753;27/12/2019;Client_K;2;7.99
1793241;27/12/2019;Client_K;1;6.14
1757069;27/12/2019;Client_K;1;6.14
1750732;27/12/2019;Client_K;1;6.14
1749606;27/12/2019;Client_K;1;6.14
1749545;27/12/2019;Client_K;1;6.14
1716218;27/12/2019;Client_K;1;9.22
1715914;27/12/2019;Client_K;1;6.14
1715341;27/12/2019;Client_K;2;21.51
1589677;27/12/2019;Client_K;1;9.22
1589493;27/12/2019;Client_K;1;6.14
1553166;27/12/2019;Client_K;1;6.14
1518737;27/12/2019;Client_K;1;6.14
1506192;27/12/2019;Client_K;1;6.14
1321771;27/12/2019;Client_K;1;9.22
1321757;27/12/2019;Client_K;1;12.29
1319846;27/12/2019;Client_K;2;6.14
1319532;27/12/2019;Client_K;2;6.14
1318412;27/12/2019;Client_K;1;6.14
1311697;27/12/2019;Client_K;1;6.14
1123962;27/12/2019;Client_K;1;18.44
1113574;27/12/2019;Client_K;1;6.14
1717314;27/12/2019;Client_E;1;12.13
1713682;27/12/2019;Client_E;1;6.06
1706288;27/12/2019;Client_E;1;12.13
1515866;27/12/2019;Client_E;1;6.06
1511165;27/12/2019;Client_E;1;12.13
1318825;27/12/2019;Client_E;2;6.06
1317675;27/12/2019;Client_E;5;18.19
1162221;27/12/2019;Client_E;1;12.13
1723490;27/12/2019;Client_E;4;12.13
1721663;27/12/2019;Client_E;5;10.31
1721267;27/12/2019;Client_E;3;15.16
1717598;27/12/2019;Client_E;1;6.06
1716683;27/12/2019;Client_E;2;6.06
1713682;27/12/2019;Client_E;1;6.06
1564612;27/12/2019;Client_E;3;24.26
1522468;27/12/2019;Client_E;3;18.19
1519314;27/12/2019;Client_E;5;18.19
1495800;27/12/2019;Client_E;3;9.09
1419638;27/12/2019;Client_E;1;6.06
1411519;27/12/2019;Client_E;1;9.09
1317286;27/12/2019;Client_E;2;6.06
1314872;27/12/2019;Client_E;1;6.06
1312052;27/12/2019;Client_E;2;6.06
1308826;27/12/2019;Client_E;2;6.06
1144661;27/12/2019;Client_E;1;6.06
1117404;27/12/2019;Client_E;2;3.94
1114120;27/12/2019;Client_E;1;6.5
1113574;27/12/2019;Client_E;1;6.06
1110550;27/12/2019;Client_E;2;6.06
1721311;27/12/2019;Client_E;7;3.94
1319846;27/12/2019;Client_E;25;3.94
1121302;27/12/2019;Client_E;10;3.94
1516320;27/12/2019;Client_I;1;6.14
1772505;27/12/2019;Client_A;1;3.68
1603496;27/12/2019;Client_A;1;3.07
1580452;27/12/2019;Client_A;4;4.61
1572532;27/12/2019;Client_A;2;3.07
1566036;27/12/2019;Client_A;1;4.61
1511189;27/12/2019;Client_A;1;9.22
1458508;27/12/2019;Client_A;1;3.07
1442385;27/12/2019;Client_A;2;3.07
1436483;27/12/2019;Client_A;1;3.68
1406614;27/12/2019;Client_A;1;3.07
1402334;27/12/2019;Client_A;1;3.07
1342524;27/12/2019;Client_A;1;6.14
1306426;27/12/2019;Client_A;1;6.17
1192051;27/12/2019;Client_A;1;9.22
1192044;27/12/2019;Client_A;1;6.14
1189181;27/12/2019;Client_A;1;3.07
1180171;27/12/2019;Client_A;1;6.17
1147914;27/12/2019;Client_A;1;3.07
1144319;27/12/2019;Client_A;1;3.07
